sha256	sha1	md5	category	filename	publisher	loads_despite_hvci	imphash
930da474a6d1be97b54f2c81e883e14d62897aa58622e5b040e412bd36cee0a7	011954de4094ae7e4562db7e749d5c66b268f1b4	475f33ff28ba2c8007f39602c5f7ecf1	malicious			TRUE	b72d2bef646e421c7a0789881378490f
22da5a055b7b17c69def9f5af54e257c751507e7b6b9a835fcf6245ab90ae750	919b22b086fb2718648e61274e7ae9535efa9a99	1e9f5515bff6f29d06694be4cd95a21c	vulnerable driver			FALSE	b5403fb8687d7afd40fd8cf3b4dfe29b
23115b5b1d5511d59cdad75f863d65893304dc098848dcb149b69492f51b31f6	45f68dd09d129264abed173fcdd5c56e1147a977	4fbf95520d372ed081a16e1ccfb3c154	vulnerable driver			FALSE	b5403fb8687d7afd40fd8cf3b4dfe29b
f3efcf47681d9f96afcbc843a241c21a643b173c48270446f6fe634991a57847	0df5e8599b332a7927bd0a9d87ad9d6b5ad332fe	46e5dfe28aeccc39ea893975d54e3d3b	vulnerable driver			FALSE	650fb6bf48d8b35397597d970226ca12
cfe2dd2cf1eb8b79d3b4ae980cda6fd933979d47c837fda77256a24a41316468	0f45c274b86bdcffba8d09a3cdfce974b10e3bfe	a01abca106a37eb4e7f96b1c4be38712	vulnerable driver			FALSE	b5403fb8687d7afd40fd8cf3b4dfe29b
bbc58fd69ce5fed6691dd8d2084e9b728add808ffd5ea8b42ac284b686f77d9a	8b04023990d18dcd5cc4c5538b332b017f3962fc	530f12f8058199964d0b41f1856185ec	vulnerable driver			FALSE	d252001e327cf09463aba69fb4de2125
16e68d2fa75a4e04872be42e2b54c041e43ab3409096741690520417e3368aa6	56086ede8efe41322b829aaec81df6ef317809e7	3ce1153adde6ca1fa17679d9f00b4de0	vulnerable driver			FALSE	d252001e327cf09463aba69fb4de2125
04a269dd0a03e32e5b2a1c8ab0768791962e040d080d44dc44dab01dd7954f2b	a9c16b188132cdf9e9d02ddda7727a241dc43ce2	2ff65eaca2ace4d13d0c7db521120e51	vulnerable driver			FALSE	40758fe0a03b654da35a5f035d0343c5
40c45c9b1c764777096b59f99ae524cbd25b88c805187e615c3ed6840f3d4c15	4656f21f4093a72864b12ad6783a640ec9d4adff	e3fb0f73f17f1fe04ae8fa9448d2f92b	vulnerable driver			FALSE	e938b727f5a033818337f7ba0584500f
f83c357106a7d1d055b5cb75c8414aa3219354deb16ae9ee7efe8ee4c8c670ca	4ede7f018c317ddc6a5f8f935f917621668cb1ec	a57e4e3a3fa46bbdbc9d803283af3479	vulnerable driver			FALSE	d252001e327cf09463aba69fb4de2125
24ea733bae1b8722841fb4c6cead93c4c4f0b1248ca9a21601b1ce6b95b06864	6d6f71e858ce0fad35f4dc6e7ddb72dd0574a497	9c46269615ae06f912463ddc28319157	vulnerable driver			FALSE	9321f9c47129fbc728ead2710e22f1a5
8249e9c0ac0840a36d9a5b9ff3e217198a2f533159acd4bf3d9b0132cc079870	7cb3ea53660dbc1b4fe12e0c03c7bfea0a3c92a2	0e2d4679f68796e9dd0d663137cb9e12	vulnerable driver			FALSE	b5403fb8687d7afd40fd8cf3b4dfe29b
93d99a5fbfc888c0a40a18946933121ae110229dcf206b4d17116a57e7cf4dc9	c1e63efa1447b68a870962334c61cedd04db379b	f783cf9084f1cefa87e9e5a302d4d18a	vulnerable driver			FALSE	b679ac08daf4b4ce8a58d85a8e0904ac
0123c7f12dd7530d55aee49949ff1fee911c9689bd04591684aa641882589785	9065b63f7d1b7eac160c10d6f30a097613c29f12	1814c4b16c8c3e746a185daaa5099ebc	vulnerable driver			FALSE	d252001e327cf09463aba69fb4de2125
63d61549030fcf46ff1dc138122580b4364f0fe99e6b068bc6a3d6903656aff0	f023177aca17f6dc90fdd9588240cb16c70a9fe2	0bd3b9f55a2d3a13f506d9d8b970e0de	vulnerable driver			FALSE	d252001e327cf09463aba69fb4de2125
16b6be03495a4f4cf394194566bb02061fba2256cc04dcbde5aa6a17e41b7650	a10ce0c717bfe0163eda2459964ad637d634de27	a07f5f368deb3569ec3129fa55da4041	vulnerable driver			FALSE	518e77c070ae21af7c558962cd1854a3
